Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-05-14,20:00,Inter Miami,0.8,2–2,0.9,D.C. United,13317,Lockhart Stadium,Pierre-Luc Lauziere,Match Report,
Wed,2022-05-18,19:30,NY Red Bulls,2.6,3–3,1.6,Chicago Fire,13257,Red Bull Arena,Ted Unkel,Match Report,
Wed,2022-05-18,19:30,Philadelphia,1.6,0–0,0.9,Inter Miami,15747,Subaru Park,Fotis Bazakos,Match Report,
Wed,2022-05-18,19:30,D.C. United,0.7,0–2,1.7,NYCFC,16072,Audi Field,Chris Penso,Match Report,
Wed,2022-05-18,19:00 (22:00),Vancouver,1.2,2–1,1.2,FC Dallas,12716,BC Place,Ismir Pekmic,Match Report,
Wed,2022-05-18,19:00 (20:00),Minnesota Utd,2.8,1–1,2.2,LA Galaxy,19645,Allianz Field,Jair Marrufo,Match Report,
Wed,2022-05-18,19:30 (22:30),Los Angeles FC,2.4,1–2,1.0,Austin,22034,Banc of California Stadium,Armando Villarreal,Match Report,
Wed,2022-05-18,19:30 (20:30),Houston Dynamo,1.1,0–1,0.9,Seattle,11093,PNC Stadium,Rubiel Vazquez,Match Report,
Wed,2022-05-18,19:30 (22:30),San Jose,2.1,3–2,0.8,Portland Timbers,11788,Avaya Stadium,Lukasz Szpala,Match Report,
Wed,2022-05-18,19:30 (20:30),Sporting KC,0.5,2–1,1.0,Colorado Rapids,17233,Children's Mercy Park,Drew Fischer,Match Report,
Wed,2022-05-18,19:30 (20:30),Nashville,0.8,2–1,0.7,CF Montréal,26003,Geodis Park,Jon Freemon,Match Report,
Sat,2022-05-21,15:30,Columbus Crew,0.9,0–2,1.8,Los Angeles FC,19649,Lower.com Field,Victor Rivas,Match Report,
Sat,2022-05-21,18:00,FC Cincinnati,0.7,2–3,0.8,New England,22844,West End Stadium,Silviu Petrescu,Match Report,
Sat,2022-05-21,18:30,D.C. United,2.8,2–2,1.6,Toronto FC,18320,Audi Field,Ismir Pekmic,Match Report,
Sat,2022-05-21,18:30 (19:30),Nashville,2.0,2–2,1.9,Atlanta Utd,30109,Geodis Park,Ted Unkel,Match Report,
Sun,2022-05-22,16:00,CF Montréal,1.0,1–2,1.8,Real Salt Lake,14205,Saputo Stadium,Ramy Touchan,Match Report,
Sun,2022-05-22,16:30 (19:30),San Jose,1.0,1–1,1.0,Sporting KC,14233,Avaya Stadium,Pierre-Luc Lauziere,Match Report,
Sun,2022-05-22,17:00,NYCFC,2.1,1–0,0.8,Chicago Fire,18823,Yankee Stadium,Fotis Bazakos,Match Report,
Sun,2022-05-22,17:00,Charlotte,1.9,2–1,0.9,Vancouver,32034,Bank of America Stadium,Nima Saghafi,Match Report,
Sun,2022-05-22,18:00,Inter Miami,2.2,2–0,1.4,NY Red Bulls,11007,Lockhart Stadium,Jon Freemon,Match Report,
Sun,2022-05-22,18:00 (19:00),FC Dallas,1.3,1–2,0.7,Minnesota Utd,15280,Toyota Stadium,Lukasz Szpala,Match Report,
Sun,2022-05-22,17:00 (20:00),LA Galaxy,1.3,0–3,2.4,Houston Dynamo,22471,Dignity Health Sports Park,Marcos de Oliveira,Match Report,
Sun,2022-05-22,18:00 (20:00),Colorado Rapids,1.7,1–0,0.5,Seattle,14923,Dick's Sporting Goods Park,Tim Ford,Match Report,
Sun,2022-05-22,19:00 (22:00),Portland Timbers,0.7,0–2,1.1,Philadelphia,22288,Providence Park,Allen Chapman,Match Report,
Sun,2022-05-22,19:00 (20:00),Austin,3.5,2–2,1.9,Orlando City,20738,Q2 Stadium,Joe Dickerson,Match Report,
Sat,2022-05-28,15:00 (18:00),Los Angeles FC,2.0,3–2,1.8,San Jose,22007,Banc of California Stadium,Ismail Elfath,Match Report,
Sat,2022-05-28,19:00,Toronto FC,1.0,3–2,2.6,Chicago Fire,25906,BMO Field,Guido Gonzalez Jr.,Match Report,
Sat,2022-05-28,19:00,Atlanta Utd,1.8,1–2,0.7,Columbus Crew,42504,Mercedes-Benz Stadium,Joe Dickerson,Match Report,
Sat,2022-05-28,19:00,NY Red Bulls,1.0,4–1,0.7,D.C. United,13678,Red Bull Arena,Allen Chapman,Match Report,
Sat,2022-05-28,19:30,Orlando City,1.2,1–3,1.1,FC Dallas,17380,Exploria Stadium,Marcos de Oliveira,Match Report,
Sat,2022-05-28,19:30,CF Montréal,2.8,4–3,1.3,FC Cincinnati,14225,Saputo Stadium,Fotis Bazakos,Match Report,
Sat,2022-05-28,19:30,New England,2.8,1–1,0.8,Philadelphia,20398,Gillette Stadium,Jon Freemon,Match Report,
Sun,2022-05-29,15:00 (18:00),LA Galaxy,3.2,4–1,0.9,Austin,20433,Dignity Health Sports Park,Rubiel Vazquez,Match Report,
Sat,2022-05-28,19:00 (20:00),Minnesota Utd,1.1,0–1,1.0,NYCFC,19695,Allianz Field,Michael Radchuk,Match Report,
Sat,2022-05-28,19:00 (21:00),Colorado Rapids,0.6,1–3,1.7,Nashville,15465,Dick's Sporting Goods Park,Nima Saghafi,Match Report,
Sat,2022-05-28,19:30 (21:30),Real Salt Lake,2.4,3–0,1.1,Houston Dynamo,20489,America First Field,Armando Villarreal,Match Report,
Sat,2022-05-28,20:00 (21:00),Sporting KC,1.1,0–1,1.4,Vancouver,19206,Children's Mercy Park,Ted Unkel,Match Report,
Sat,2022-05-28,20:00,Inter Miami,1.3,2–1,1.1,Portland Timbers,11161,Lockhart Stadium,Chris Penso,Match Report,
Sun,2022-05-29,18:30 (21:30),Seattle,1.9,2–1,1.4,Charlotte,32763,Lumen Field,Rosendo Mendoza,Match Report,
Sat,2022-06-04,16:00 (19:00),Vancouver,1.5,2–1,1.0,Real Salt Lake,17134,BC Place,Jon Freemon,Match Report,
Sat,2022-06-11,15:00,Charlotte,1.9,2–0,0.4,NY Red Bulls,32064,Bank of America Stadium,Guido Gonzalez Jr.,Match Report,
Sun,2022-06-12,14:00 (15:00),Sporting KC,0.8,1–2,1.8,New England,18703,Children's Mercy Park,Chris Penso,Match Report,
Sat,2022-06-11,19:00 (20:00),Nashville,1.4,0–0,0.6,San Jose,28672,Geodis Park,Allen Chapman,Match Report,
Tue,2022-06-14,19:30 (22:30),Seattle,2.3,4–0,0.6,Vancouver,31165,Lumen Field,Lukasz Szpala,Match Report,
Wed,2022-06-15,19:30,New England,0.9,1–1,0.6,Orlando City,15308,Gillette Stadium,Ramy Touchan,Match Report,
Sat,2022-06-18,12:00 (15:00),Seattle,1.3,1–1,1.5,Los Angeles FC,34642,Lumen Field,Allen Chapman,Match Report,
Sat,2022-06-18,14:00 (17:00),LA Galaxy,1.1,1–1,0.8,Portland Timbers,21414,Dignity Health Sports Park,Joe Dickerson,Match Report,
Sat,2022-06-18,19:00,NY Red Bulls,1.4,2–0,1.4,Toronto FC,19142,Red Bull Arena,Ramy Touchan,Match Report,
Sat,2022-06-18,19:30,CF Montréal,1.8,0–1,0.7,Austin,15045,Saputo Stadium,Ted Unkel,Match Report,
Sat,2022-06-18,19:30,Philadelphia,1.4,1–1,1.1,FC Cincinnati,18717,Subaru Park,Tim Ford,Match Report,
Sat,2022-06-18,19:30,Orlando City,3.1,2–1,0.6,Houston Dynamo,16333,Exploria Stadium,Rosendo Mendoza,Match Report,
Sat,2022-06-18,19:30,Columbus Crew,1.4,1–1,0.5,Charlotte,20446,Lower.com Field,Silviu Petrescu,Match Report,
Sun,2022-06-19,15:00,Atlanta Utd,1.8,2–0,0.8,Inter Miami,42539,Mercedes-Benz Stadium,Armando Villarreal,Match Report,
Sun,2022-06-19,17:00,NYCFC,1.3,1–1,0.3,Colorado Rapids,19812,Yankee Stadium,Marcos de Oliveira,Match Report,
Sun,2022-06-19,17:00 (18:00),Nashville,0.8,1–2,0.4,Sporting KC,29269,Geodis Park,Victor Rivas,Match Report,
Sun,2022-06-19,17:00,New England,0.4,2–1,1.4,Minnesota Utd,21289,Gillette Stadium,Ismir Pekmic,Match Report,
Sat,2022-06-18,19:00 (20:00),Chicago Fire,1.2,1–0,1.1,D.C. United,17650,Soldier Field,Nima Saghafi,Match Report,
Sat,2022-06-18,19:30 (21:30),Real Salt Lake,2.0,2–0,0.5,San Jose,20517,America First Field,Alex Chilowicz,Match Report,
Sat,2022-06-18,20:00 (21:00),FC Dallas,1.2,0–2,0.7,Vancouver,19096,Toyota Stadium,Tori Penso,Match Report,
Fri,2022-06-24,19:30,FC Cincinnati,1.2,1–0,0.2,Orlando City,24263,West End Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-06-25,12:00 (15:00),Seattle,2.8,3–0,0.4,Sporting KC,33380,Lumen Field,Alex Chilowicz,Match Report,
Sat,2022-06-25,17:00,D.C. United,0.8,1–3,1.4,Nashville,19325,Audi Field,Lukasz Szpala,Match Report,
Sat,2022-06-25,19:30,CF Montréal,0.7,2–1,1.4,Charlotte,13520,Saputo Stadium,Nima Saghafi,Match Report,
Sat,2022-06-25,19:30,Toronto FC,1.7,2–1,1.0,Atlanta Utd,25527,BMO Field,Jon Freemon,Match Report,
Sun,2022-06-26,12:00 (15:00),Los Angeles FC,1.2,2–0,0.7,NY Red Bulls,,Banc of California Stadium,Joe Dickerson,Match Report,
Sun,2022-06-26,18:00,Philadelphia,2.6,2–1,1.4,NYCFC,18589,Subaru Park,Armando Villarreal,Match Report,
Sat,2022-06-25,19:00 (20:00),Houston Dynamo,1.3,2–0,1.7,Chicago Fire,13081,PNC Stadium,Ismir Pekmic,Match Report,
Sat,2022-06-25,19:30 (22:30),Portland Timbers,3.5,3–0,1.6,Colorado Rapids,23448,Providence Park,Rosendo Mendoza,Match Report,
Sat,2022-06-25,20:00 (22:00),Real Salt Lake,0.7,0–0,0.6,Columbus Crew,20311,America First Field,Mark Allatin,Match Report,
Sat,2022-06-25,20:00,Inter Miami,1.7,2–1,1.1,Minnesota Utd,12147,Lockhart Stadium,Victor Rivas,Match Report,
Sat,2022-06-25,20:00 (21:00),Austin,1.2,2–2,2.2,FC Dallas,20738,Q2 Stadium,Allen Chapman,Match Report,
Sun,2022-06-26,17:00 (20:00),Vancouver,1.2,0–0,1.0,New England,15084,BC Place,Filip Dujic,Match Report,
Wed,2022-06-29,19:30,FC Cincinnati,2.3,4–4,2.4,NYCFC,21258,West End Stadium,Ismir Pekmic,Match Report,
Wed,2022-06-29,19:30,Toronto FC,1.6,1–2,0.9,Columbus Crew,21289,BMO Field,Armando Villarreal,Match Report,
Thu,2022-06-30,19:00,Charlotte,0.6,0–1,0.3,Austin,31661,Bank of America Stadium,Tim Ford,Match Report,
Wed,2022-06-29,19:00 (20:00),Chicago Fire,1.8,1–0,0.6,Philadelphia,10384,Soldier Field,Michael Radchuk,Match Report,
Wed,2022-06-29,19:00 (22:00),Seattle,0.9,1–2,1.5,CF Montréal,32375,Lumen Field,Joe Dickerson,Match Report,
Wed,2022-06-29,19:30 (22:30),LA Galaxy,3.2,2–3,1.1,Minnesota Utd,18337,Dignity Health Sports Park,Ted Unkel,Match Report,
Wed,2022-06-29,19:30 (22:30),Portland Timbers,1.7,2–1,1.8,Houston Dynamo,22932,Providence Park,Lukasz Szpala,Match Report,
Wed,2022-06-29,19:30 (22:30),Los Angeles FC,2.1,3–1,0.7,FC Dallas,22014,Banc of California Stadium,Marcos de Oliveira,Match Report,
Thu,2022-06-30,20:00,NY Red Bulls,1.7,2–1,1.3,Atlanta Utd,14122,Red Bull Arena,Alex Chilowicz,Match Report,
Sat,2022-07-02,19:30,Toronto FC,1.5,0–2,1.7,Seattle,23594,BMO Field,Silviu Petrescu,Match Report,
Sun,2022-07-03,17:00,NYCFC,2.8,2–2,1.4,Atlanta Utd,17704,Yankee Stadium,Rosendo Mendoza,Match Report,
Sat,2022-07-02,19:00 (22:00),Vancouver,0.7,1–0,0.4,Los Angeles FC,18292,BC Place,Guido Gonzalez Jr.,Match Report,
Sun,2022-07-03,19:30,Columbus Crew,1.5,0–0,0.2,Philadelphia,20469,Lower.com Field,Nima Saghafi,Match Report,
Sun,2022-07-03,19:30,New England,1.5,2–2,1.3,FC Cincinnati,20193,Gillette Stadium,Jon Freemon,Match Report,
Sun,2022-07-03,18:00 (21:00),San Jose,2.5,2–1,1.9,Chicago Fire,13224,Avaya Stadium,Victor Rivas,Match Report,
Mon,2022-07-04,19:00,Orlando City,2.5,3–5,1.9,D.C. United,16,Exploria Stadium,Allen Chapman,Match Report,
Sun,2022-07-03,19:00 (20:00),Minnesota Utd,2.8,3–2,1.5,Real Salt Lake,,Allianz Field,Ramy Touchan,Match Report,
Sun,2022-07-03,19:00 (20:00),Sporting KC,1.1,0–1,1.0,NY Red Bulls,19065,Children's Mercy Park,Marcos de Oliveira,Match Report,
Sun,2022-07-03,19:30 (20:30),Houston Dynamo,0.9,1–2,2.3,Charlotte,19242,PNC Stadium,Jair Marrufo,Match Report,
Sun,2022-07-03,19:30 (20:30),Nashville,1.0,2–2,1.6,Portland Timbers,28387,Geodis Park,Armando Villarreal,Match Report,
Mon,2022-07-04,19:00 (21:00),Colorado Rapids,2.1,2–3,1.6,Austin,18084,Dick's Sporting Goods Park,Joe Dickerson,Match Report,
Mon,2022-07-04,19:30 (22:30),LA Galaxy,3.1,4–0,1.1,CF Montréal,23855,Dignity Health Sports Park,Tim Ford,Match Report,
Mon,2022-07-04,20:00 (21:00),FC Dallas,1.0,1–1,2.1,Inter Miami,19096,Toyota Stadium,Alex Chilowicz,Match Report,
Fri,2022-07-08,19:30,Philadelphia,4.7,7–0,1.0,D.C. United,19007,Subaru Park,Ted Unkel,Match Report,
Sat,2022-07-09,13:00,NYCFC,6.1,4–2,1.4,New England,17991,Yankee Stadium,Tim Ford,Match Report,
Sat,2022-07-09,13:30 (16:30),Seattle,1.4,0–3,2.1,Portland Timbers,47722,Lumen Field,Chris Penso,Match Report,
Sat,2022-07-09,19:00,Atlanta Utd,1.4,0–3,2.7,Austin,67516,Mercedes-Benz Stadium,Jair Marrufo,Match Report,
Fri,2022-07-08,19:00 (22:00),Los Angeles FC,1.8,3–2,1.6,LA Galaxy,22231,Banc of California Stadium,Armando Villarreal,Match Report,
Sat,2022-07-09,19:00,Charlotte,2.0,4–1,2.1,Nashville,,Bank of America Stadium,Joe Dickerson,Match Report,
Sat,2022-07-09,19:30,FC Cincinnati,1.6,1–1,1.1,NY Red Bulls,24476,West End Stadium,Rosendo Mendoza,Match Report,
Fri,2022-07-08,19:30 (22:30),Vancouver,1.0,1–3,1.1,Minnesota Utd,14201,BC Place,Alex Chilowicz,Match Report,
Sat,2022-07-09,19:30,Toronto FC,2.5,2–2,1.3,San Jose,27149,BMO Field,Fotis Bazakos,Match Report,
Sat,2022-07-09,19:30,CF Montréal,1.5,1–2,0.4,Sporting KC,14127,Saputo Stadium,Ismir Pekmic,Match Report,
Sat,2022-07-09,19:00 (20:00),Chicago Fire,1.7,2–3,1.5,Columbus Crew,15157,Soldier Field,Ramy Touchan,Match Report,
Sat,2022-07-09,19:30 (20:30),Houston Dynamo,2.3,2–2,1.9,FC Dallas,21284,PNC Stadium,Jon Freemon,Match Report,
Sat,2022-07-09,20:00 (22:00),Real Salt Lake,1.5,2–2,2.7,Colorado Rapids,20242,America First Field,Lukasz Szpala,Match Report,
Sat,2022-07-09,22:00,Orlando City,0.6,1–0,0.7,Inter Miami,20052,Exploria Stadium,Nima Saghafi,Match Report,
Wed,2022-07-13,19:30,Atlanta Utd,1.2,2–1,0.7,Real Salt Lake,42509,Mercedes-Benz Stadium,Drew Fischer,Match Report,
Tue,2022-07-12,20:00 (21:00),Austin,1.7,3–1,0.9,Houston Dynamo,20738,Q2 Stadium,Chris Penso,Match Report,
Wed,2022-07-13,19:00 (21:00),Colorado Rapids,1.9,1–1,0.9,Orlando City,12538,Dick's Sporting Goods Park,Fotis Bazakos,Match Report,
Wed,2022-07-13,19:00 (20:00),Chicago Fire,1.1,2–0,0.3,Toronto FC,10450,Soldier Field,Lukasz Szpala,Match Report,
Wed,2022-07-13,19:00 (20:00),Minnesota Utd,0.9,1–1,1.0,Sporting KC,19657,Allianz Field,Guido Gonzalez Jr.,Match Report,
Wed,2022-07-13,19:00 (22:00),LA Galaxy,2.4,2–3,1.8,San Jose,18453,Dignity Health Sports Park,Allen Chapman,Match Report,
Wed,2022-07-13,19:30 (20:30),Nashville,1.4,1–0,0.9,Seattle,26927,Geodis Park,Rubiel Vazquez,Match Report,
Wed,2022-07-13,20:00,Inter Miami,0.9,1–2,1.3,Philadelphia,10027,Lockhart Stadium,Marcos de Oliveira,Match Report,
Wed,2022-07-13,20:00 (21:00),FC Dallas,1.4,0–1,0.9,NYCFC,13656,Toyota Stadium,Victor Rivas,Match Report,
Wed,2022-07-13,20:00,D.C. United,2.8,2–2,0.5,Columbus Crew,10128,Audi Field,Rosendo Mendoza,Match Report,
Wed,2022-07-13,20:00,FC Cincinnati,1.8,2–2,1.5,Vancouver,21078,West End Stadium,Pierre-Luc Lauziere,Match Report,
Sat,2022-07-16,19:30,CF Montréal,2.1,1–0,0.3,Toronto FC,19619,Saputo Stadium,Ted Unkel,Match Report,
Sat,2022-07-16,19:30,Philadelphia,1.4,2–1,1.7,New England,18257,Subaru Park,Rubiel Vazquez,Match Report,
Sun,2022-07-17,15:00,Atlanta Utd,1.9,1–1,0.2,Orlando City,42526,Mercedes-Benz Stadium,Victor Rivas,Match Report,
Sun,2022-07-17,17:00,NY Red Bulls,0.8,0–1,1.4,NYCFC,25219,Red Bull Arena,Chris Penso,Match Report,
Sat,2022-07-16,19:00 (20:00),Minnesota Utd,1.6,2–0,0.4,D.C. United,19718,Allianz Field,Jair Marrufo,Match Report,
Sat,2022-07-16,19:00 (20:00),Chicago Fire,1.0,1–0,1.0,Seattle,13601,Soldier Field,Pierre-Luc Lauziere,Match Report,
Sat,2022-07-16,19:00 (21:00),Colorado Rapids,1.4,2–0,1.0,LA Galaxy,17975,Dick's Sporting Goods Park,Guido Gonzalez Jr.,Match Report,
Sun,2022-07-17,19:30,Columbus Crew,1.9,2–0,0.9,FC Cincinnati,20741,Lower.com Field,Marcos de Oliveira,Match Report,
Sat,2022-07-16,20:00 (21:00),FC Dallas,2.6,1–1,1.1,Austin,16833,Toyota Stadium,Armando Villarreal,Match Report,
Sat,2022-07-16,20:30,Inter Miami,1.7,3–2,0.4,Charlotte,12274,Lockhart Stadium,Jon Freemon,Match Report,
Sun,2022-07-17,18:30 (21:30),San Jose,2.1,1–2,1.3,Houston Dynamo,13445,Avaya Stadium,Tim Ford,Match Report,
Sun,2022-07-17,19:30 (22:30),Portland Timbers,2.1,1–1,1.3,Vancouver,24337,Providence Park,Ramy Touchan,Match Report,
Sun,2022-07-17,19:30 (21:30),Real Salt Lake,2.4,3–0,0.3,Sporting KC,20132,America First Field,Joe Dickerson,Match Report,
Sun,2022-07-17,19:30 (20:30),Nashville,1.8,1–2,1.4,Los Angeles FC,30109,Geodis Park,Drew Fischer,Match Report,
Sat,2022-07-23,19:00,NYCFC,1.9,2–0,0.7,Inter Miami,23277,Yankee Stadium,Allen Chapman,Match Report,
Sat,2022-07-23,19:30,Toronto FC,1.5,4–0,0.8,Charlotte,29067,BMO Field,Filip Dujic,Match Report,
Sat,2022-07-23,19:30,Orlando City,0.9,0–1,1.1,Philadelphia,16031,Exploria Stadium,Alex Chilowicz,Match Report,
Sat,2022-07-23,19:30,Columbus Crew,0.8,0–0,0.2,New England,20383,Lower.com Field,Silviu Petrescu,Match Report,
Sat,2022-07-23,19:30,FC Cincinnati,1.2,1–1,1.1,Nashville,23420,West End Stadium,Chris Penso,Match Report,
Sat,2022-07-23,19:00 (22:00),Seattle,2.4,2–1,0.9,Colorado Rapids,32476,Lumen Field,Rosendo Mendoza,Match Report,
Sat,2022-07-23,19:00 (22:00),Vancouver,1.6,1–3,0.9,Chicago Fire,14984,BC Place,Joe Dickerson,Match Report,
Sat,2022-07-23,19:30 (22:30),Portland Timbers,1.4,2–1,1.4,San Jose,23795,Providence Park,Jon Freemon,Match Report,
Sat,2022-07-23,19:30 (20:30),Sporting KC,0.5,0–2,1.3,Los Angeles FC,20142,Children's Mercy Park,Lukasz Szpala,Match Report,
Sat,2022-07-23,19:30 (20:30),Houston Dynamo,1.4,1–2,1.3,Minnesota Utd,15223,PNC Stadium,Nima Saghafi,Match Report,
Sat,2022-07-23,20:00 (22:00),Real Salt Lake,1.9,0–1,0.5,FC Dallas,20437,America First Field,Matt Conger,Match Report,
Sat,2022-07-23,20:00,D.C. United,0.9,1–2,1.7,CF Montréal,15734,Audi Field,Rubiel Vazquez,Match Report,
Sun,2022-07-24,18:30 (21:30),LA Galaxy,2.0,2–0,1.1,Atlanta Utd,24122,Dignity Health Sports Park,Marcos de Oliveira,Match Report,
Sun,2022-07-24,19:00 (20:00),Austin,1.2,3–4,1.1,NY Red Bulls,20738,Q2 Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-07-30,14:00 (15:00),Minnesota Utd,2.3,4–4,1.4,Portland Timbers,19792,Allianz Field,Victor Rivas,Match Report,
Sat,2022-07-30,16:00 (17:00),Chicago Fire,1.1,0–0,1.2,Atlanta Utd,23951,Soldier Field,Tim Ford,Match Report,
Sat,2022-07-30,19:30,CF Montréal,1.1,0–0,0.1,NYCFC,19619,Saputo Stadium,Ramy Touchan,Match Report,
Sat,2022-07-30,19:30,Philadelphia,2.4,6–0,0.6,Houston Dynamo,19089,Subaru Park,Kevin Stott,Match Report,
Fri,2022-07-29,20:00 (23:00),Los Angeles FC,1.8,2–1,0.8,Seattle,22111,Banc of California Stadium,Joe Dickerson,Match Report,
Sun,2022-07-31,17:00,D.C. United,1.2,2–1,1.9,Orlando City,15805,Audi Field,Armando Villarreal,Match Report,
Sat,2022-07-30,19:00 (22:00),San Jose,2.0,2–2,1.6,Real Salt Lake,12411,Avaya Stadium,Nima Saghafi,Match Report,
Sat,2022-07-30,19:00 (20:00),Nashville,1.4,1–1,1.4,Vancouver,26578,Geodis Park,Marcos de Oliveira,Match Report,
