Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-07-30,19:30 (20:30),Sporting KC,1.7,0–2,1.1,Austin,17287,Children's Mercy Park,Fotis Bazakos,Match Report,
Sat,2022-07-30,20:00 (21:00),FC Dallas,1.3,1–0,1.3,LA Galaxy,19096,Toyota Stadium,Pierre-Luc Lauziere,Match Report,
Sat,2022-07-30,20:00,Inter Miami,2.8,4–4,2.7,FC Cincinnati,,Lockhart Stadium,Tori Penso,Match Report,
Sat,2022-07-30,20:00,New England,0.8,0–0,2.1,Toronto FC,29097,Gillette Stadium,Ismir Pekmic,Match Report,
Tue,2022-08-02,19:30,NY Red Bulls,2.2,4–5,1.8,Colorado Rapids,13812,Red Bull Arena,Drew Fischer,Match Report,
Tue,2022-08-02,19:00 (22:00),Seattle,1.5,1–0,0.5,FC Dallas,32207,Lumen Field,Allen Chapman,Match Report,
Wed,2022-08-03,19:00,Charlotte,2.1,3–0,0.8,D.C. United,31520,Bank of America Stadium,Guido Gonzalez Jr.,Match Report,
Wed,2022-08-03,19:30,Columbus Crew,1.1,1–2,1.8,CF Montréal,19010,Lower.com Field,Lukasz Szpala,Match Report,
Wed,2022-08-03,19:30 (22:30),San Jose,1.5,0–1,2.2,Inter Miami,11806,Avaya Stadium,Mark Allatin,Match Report,
Wed,2022-08-03,19:30 (22:30),Portland Timbers,0.9,1–1,1.4,Nashville,23101,Providence Park,Silviu Petrescu,Match Report,
Sat,2022-08-06,15:00,Atlanta Utd,0.9,2–1,1.3,Seattle,68586,Mercedes-Benz Stadium,Armando Villarreal,Match Report,
Sat,2022-08-06,19:00,Charlotte,1.0,2–3,2.4,Chicago Fire,32538,Bank of America Stadium,Nima Saghafi,Match Report,
Sat,2022-08-06,19:30,CF Montréal,1.9,2–2,0.7,Inter Miami,18007,Saputo Stadium,Kevin Stott,Match Report,
Fri,2022-08-05,19:30 (22:30),Vancouver,1.3,2–1,1.0,Houston Dynamo,14668,BC Place,Fotis Bazakos,Match Report,
Sat,2022-08-06,19:30,Orlando City,1.2,0–3,1.2,New England,,Exploria Stadium,Ramy Touchan,Match Report,
Sat,2022-08-06,19:30,FC Cincinnati,1.5,3–1,1.4,Philadelphia,23443,West End Stadium,Drew Fischer,Match Report,
Sat,2022-08-06,19:30,D.C. United,0.2,0–0,0.7,NY Red Bulls,16258,Audi Field,Pierre-Luc Lauziere,Match Report,
Sat,2022-08-06,19:30,Columbus Crew,1.1,3–2,1.5,NYCFC,18609,Lower.com Field,Rubiel Vazquez,Match Report,
Sat,2022-08-06,19:00 (20:00),Nashville,2.9,3–4,1.9,Toronto FC,26326,Geodis Park,Allen Chapman,Match Report,
Sat,2022-08-06,19:00 (21:00),Colorado Rapids,3.5,4–3,1.5,Minnesota Utd,14738,Dick's Sporting Goods Park,Ismir Pekmic,Match Report,
Sat,2022-08-06,19:30 (20:30),Sporting KC,2.8,4–2,1.3,LA Galaxy,18101,Children's Mercy Park,Michael Radchuk,Match Report,
Sat,2022-08-06,19:30 (22:30),Portland Timbers,1.4,1–1,1.2,FC Dallas,24114,Providence Park,Ted Unkel,Match Report,
Sat,2022-08-06,20:00 (22:00),Real Salt Lake,1.1,1–4,1.4,Los Angeles FC,21810,America First Field,Victor Rivas,Match Report,
Sat,2022-08-06,20:00 (21:00),Austin,2.4,3–3,0.9,San Jose,20738,Q2 Stadium,Lukasz Szpala,Match Report,
Sat,2022-08-13,18:00,NY Red Bulls,0.5,0–1,0.2,Orlando City,,Red Bull Arena,Rubiel Vazquez,Match Report,
Sat,2022-08-13,19:30,New England,2.5,1–0,0.7,D.C. United,24240,Gillette Stadium,Malik Badawi,Match Report,
Sat,2022-08-13,19:30,Toronto FC,2.4,3–1,0.6,Portland Timbers,28598,BMO Field,Nima Saghafi,Match Report,
Sat,2022-08-13,19:30,FC Cincinnati,1.6,2–2,1.2,Atlanta Utd,25037,West End Stadium,Fotis Bazakos,Match Report,
Sat,2022-08-13,19:30,Philadelphia,3.0,4–1,1.5,Chicago Fire,18682,Subaru Park,Ismail Elfath,Match Report,
Sat,2022-08-13,19:00 (22:00),LA Galaxy,2.5,5–2,1.4,Vancouver,,Dignity Health Sports Park,Silviu Petrescu,Match Report,
Sat,2022-08-13,19:00 (21:00),Colorado Rapids,1.3,1–1,1.5,Columbus Crew,13254,Dick's Sporting Goods Park,Jon Freemon,Match Report,
Sat,2022-08-13,19:30 (22:30),Los Angeles FC,3.0,5–0,0.3,Charlotte,22140,Banc of California Stadium,Chris Penso,Match Report,
Sat,2022-08-13,20:00,Inter Miami,1.8,3–2,2.0,NYCFC,11419,Lockhart Stadium,Drew Fischer,Match Report,
Sat,2022-08-13,20:00 (21:00),Houston Dynamo,0.8,2–3,2.3,CF Montréal,21284,PNC Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-08-13,20:00 (21:00),Austin,1.4,4–3,2.4,Sporting KC,20738,Q2 Stadium,Pierre-Luc Lauziere,Match Report,
Sat,2022-08-13,20:00 (21:00),FC Dallas,2.2,4–1,0.5,San Jose,15106,Toyota Stadium,Victor Rivas,Match Report,
Sun,2022-08-14,19:00 (22:00),Seattle,1.2,1–2,0.8,Real Salt Lake,33093,Lumen Field,Tim Ford,Match Report,
Sun,2022-08-14,20:00 (21:00),Nashville,1.6,1–2,0.8,Minnesota Utd,25240,Geodis Park,Alex Chilowicz,Match Report,
Wed,2022-08-17,19:30,Toronto FC,1.6,2–2,1.0,New England,28464,BMO Field,Fotis Bazakos,Match Report,
Tue,2022-08-16,19:30 (22:30),Los Angeles FC,2.3,1–0,0.5,D.C. United,22063,Banc of California Stadium,Ramy Touchan,Match Report,
Wed,2022-08-17,19:30,Atlanta Utd,1.3,1–2,0.9,NY Red Bulls,42555,Mercedes-Benz Stadium,Ted Unkel,Match Report,
Wed,2022-08-17,19:00 (22:00),Vancouver,0.7,2–1,2.0,Colorado Rapids,14682,BC Place,Filip Dujic,Match Report,
Wed,2022-08-17,20:00,NYCFC,1.1,1–3,1.5,Charlotte,8531,Red Bull Arena,Jon Freemon,Match Report,
Wed,2022-08-17,20:00 (21:00),FC Dallas,1.0,1–0,0.5,Philadelphia,12479,Toyota Stadium,Nima Saghafi,Match Report,
Sat,2022-08-20,18:00,NY Red Bulls,1.8,1–1,0.4,FC Cincinnati,16525,Red Bull Arena,Ismail Elfath,Match Report,
Fri,2022-08-19,19:00 (22:00),LA Galaxy,1.4,3–3,2.3,Seattle,23278,Dignity Health Sports Park,Victor Rivas,Match Report,
Sat,2022-08-20,19:30,CF Montréal,2.7,4–0,1.1,New England,19619,Saputo Stadium,Chris Penso,Match Report,
Sat,2022-08-20,19:30,D.C. United,1.4,0–6,3.6,Philadelphia,17941,Audi Field,Ted Unkel,Match Report,
Sun,2022-08-21,17:00 (18:00),Chicago Fire,1.6,0–2,0.9,NYCFC,11720,Soldier Field,Rosendo Mendoza,Match Report,
Sun,2022-08-21,17:30,Columbus Crew,1.1,2–2,1.8,Atlanta Utd,17461,Lower.com Field,Joe Dickerson,Match Report,
Sun,2022-08-21,18:30 (19:30),Sporting KC,1.6,4–1,1.3,Portland Timbers,17348,Children's Mercy Park,Armando Villarreal,Match Report,
Sat,2022-08-20,19:00 (21:00),Colorado Rapids,0.8,1–1,0.5,Houston Dynamo,15380,Dick's Sporting Goods Park,Marcos de Oliveira,Match Report,
Sat,2022-08-20,19:00 (20:00),Minnesota Utd,2.2,2–1,1.2,Austin,19829,Allianz Field,Allen Chapman,Match Report,
Sun,2022-08-21,19:00,Charlotte,0.6,1–2,1.5,Orlando City,30855,Bank of America Stadium,Lukasz Szpala,Match Report,
Sat,2022-08-20,19:00 (22:00),San Jose,1.0,2–1,1.1,Los Angeles FC,18000,Avaya Stadium,Michael Radchuk,Match Report,
Sat,2022-08-20,20:00 (22:00),Real Salt Lake,1.0,1–1,0.8,Vancouver,20567,America First Field,Ismir Pekmic,Match Report,
Sat,2022-08-20,20:00,Inter Miami,0.6,2–1,0.6,Toronto FC,14388,Lockhart Stadium,Pierre-Luc Lauziere,Match Report,
Sun,2022-08-21,19:30 (20:30),Nashville,2.1,4–0,0.2,FC Dallas,25571,Geodis Park,Kevin Stott,Match Report,
Sat,2022-08-27,14:30 (15:30),Minnesota Utd,1.4,2–1,0.7,Houston Dynamo,,Allianz Field,Rosendo Mendoza,Match Report,
Fri,2022-08-26,19:00 (20:00),Austin,0.8,4–1,2.0,Los Angeles FC,20738,Q2 Stadium,Alex Chilowicz,Match Report,
Sat,2022-08-27,19:00,NY Red Bulls,1.1,3–1,1.4,Inter Miami,21374,Red Bull Arena,Fotis Bazakos,Match Report,
Fri,2022-08-26,19:00 (22:00),Portland Timbers,2.7,2–1,0.6,Seattle,25218,Providence Park,Ismail Elfath,Match Report,
Sat,2022-08-27,19:00,Charlotte,1.0,0–2,0.5,Toronto FC,32495,Bank of America Stadium,Tim Ford,Match Report,
Sat,2022-08-27,19:30,FC Cincinnati,1.9,2–2,0.5,Columbus Crew,25037,West End Stadium,Kevin Stott,Match Report,
Sat,2022-08-27,19:30,Philadelphia,5.4,6–0,1.1,Colorado Rapids,18005,Subaru Park,Allen Chapman,Match Report,
Sun,2022-08-28,16:00,Atlanta Utd,2.4,3–2,1.0,D.C. United,42561,Mercedes-Benz Stadium,Nima Saghafi,Match Report,
Sat,2022-08-27,19:00 (22:00),Vancouver,0.6,0–3,1.4,Nashville,16351,BC Place,Jon Freemon,Match Report,
Sat,2022-08-27,19:00 (20:00),Chicago Fire,0.6,0–2,0.9,CF Montréal,13907,Soldier Field,Michael Radchuk,Match Report,
Sun,2022-08-28,19:30,Orlando City,1.0,2–1,0.5,NYCFC,,Exploria Stadium,Chris Penso,Match Report,
Sat,2022-08-27,19:30 (20:30),Sporting KC,1.3,1–0,0.9,San Jose,18241,Children's Mercy Park,Guido Gonzalez Jr.,Match Report,
Sat,2022-08-27,20:00 (21:00),FC Dallas,1.0,1–1,1.1,Real Salt Lake,15573,Toyota Stadium,Ramy Touchan,Match Report,
Sun,2022-08-28,20:00,New England,1.5,1–2,1.0,LA Galaxy,21517,Gillette Stadium,Lukasz Szpala,Match Report,
Wed,2022-08-31,19:00,Philadelphia,2.5,4–1,1.6,Atlanta Utd,18214,Subaru Park,Lukasz Szpala,Match Report,
Wed,2022-08-31,19:30,Columbus Crew,0.9,1–0,0.2,Inter Miami,18034,Lower.com Field,Armando Villarreal,Match Report,
Wed,2022-08-31,19:30,Toronto FC,1.4,2–2,0.6,LA Galaxy,29130,BMO Field,Ted Unkel,Match Report,
Wed,2022-08-31,19:30,CF Montréal,0.7,0–1,0.9,NY Red Bulls,15075,Saputo Stadium,Victor Rivas,Match Report,
Wed,2022-08-31,19:30,New England,1.5,0–0,1.4,Chicago Fire,13325,Gillette Stadium,Marcos de Oliveira,Match Report,
Wed,2022-08-31,19:30 (20:30),Nashville,2.3,4–1,0.8,Colorado Rapids,24127,Geodis Park,Mark Allatin,Match Report,
Wed,2022-08-31,19:30 (21:30),Real Salt Lake,1.8,3–0,0.4,Minnesota Utd,20358,America First Field,Drew Fischer,Match Report,
Wed,2022-08-31,19:30 (20:30),Houston Dynamo,1.4,2–1,2.9,Los Angeles FC,21284,PNC Stadium,Matt Conger,Match Report,
Wed,2022-08-31,20:00 (21:00),Austin,2.7,1–2,2.4,Portland Timbers,20738,Q2 Stadium,Chris Penso,Match Report,
Wed,2022-08-31,20:00,NYCFC,0.3,1–2,1.3,D.C. United,8113,Yankee Stadium,Ismir Pekmic,Match Report,
Wed,2022-08-31,22:00,Orlando City,3.6,3–2,1.0,Seattle,14483,Exploria Stadium,Alex Chilowicz,Match Report,
Sat,2022-09-03,14:30 (15:30),Minnesota Utd,0.9,0–3,0.9,FC Dallas,19761,Allianz Field,Ismail Elfath,Match Report,
Sat,2022-09-03,17:30,Columbus Crew,1.2,0–0,0.2,Chicago Fire,18189,Lower.com Field,Ismir Pekmic,Match Report,
Sat,2022-09-03,19:00,NY Red Bulls,1.0,0–2,0.9,Philadelphia,16247,Red Bull Arena,Tim Ford,Match Report,
Sat,2022-09-03,19:30,FC Cincinnati,1.2,2–0,0.9,Charlotte,21165,West End Stadium,Michael Radchuk,Match Report,
Sun,2022-09-04,14:30 (17:30),Portland Timbers,2.4,2–1,0.9,Atlanta Utd,24438,Providence Park,Jon Freemon,Match Report,
Sun,2022-09-04,19:30,Toronto FC,2.0,3–4,1.5,CF Montréal,28793,BMO Field,Allen Chapman,Match Report,
Sun,2022-09-04,19:30,D.C. United,1.7,0–0,1.4,Colorado Rapids,16502,Audi Field,Tori Penso,Match Report,
Sat,2022-09-03,19:30 (20:30),Nashville,1.8,3–0,0.5,Austin,25293,Geodis Park,Nima Saghafi,Match Report,
Sun,2022-09-04,17:00 (20:00),LA Galaxy,2.3,2–2,1.5,Sporting KC,20104,Dignity Health Sports Park,Ramy Touchan,Match Report,
Sun,2022-09-04,18:00 (21:00),Seattle,2.5,2–1,0.5,Houston Dynamo,33621,Lumen Field,Silviu Petrescu,Match Report,
Sun,2022-09-04,18:30 (21:30),San Jose,0.8,2–0,1.2,Vancouver,13211,Avaya Stadium,Rosendo Mendoza,Match Report,
Sun,2022-09-04,19:30 (22:30),Los Angeles FC,3.1,2–0,0.4,Real Salt Lake,22199,Banc of California Stadium,Lukasz Szpala,Match Report,
Sun,2022-09-04,20:00,New England,0.6,3–0,2.3,NYCFC,17793,Gillette Stadium,Guido Gonzalez Jr.,Match Report,
Wed,2022-09-07,20:00,NYCFC,1.3,1–1,0.1,FC Cincinnati,14248,Citi Field,Ted Unkel,Match Report,
Fri,2022-09-09,19:30,CF Montréal,2.0,2–2,0.6,Columbus Crew,19619,Saputo Stadium,Lukasz Szpala,Match Report,
Sat,2022-09-10,13:00,Charlotte,0.7,1–0,1.0,NYCFC,30159,Bank of America Stadium,Victor Rivas,Match Report,
Sat,2022-09-10,14:30 (15:30),Nashville,1.4,1–1,2.7,LA Galaxy,28753,Geodis Park,Chris Penso,Match Report,
Sat,2022-09-10,18:00,NY Red Bulls,1.5,2–1,0.5,New England,16301,Red Bull Arena,Alex Chilowicz,Match Report,
Sat,2022-09-10,19:30,Philadelphia,2.9,5–1,0.5,Orlando City,19079,Subaru Park,Armando Villarreal,Match Report,
Sat,2022-09-10,19:30,FC Cincinnati,3.9,6–0,0.7,San Jose,22557,West End Stadium,Ismir Pekmic,Match Report,
Sat,2022-09-10,19:30,Atlanta Utd,4.4,4–2,2.5,Toronto FC,42670,Mercedes-Benz Stadium,Rosendo Mendoza,Match Report,
Sat,2022-09-10,17:00 (20:00),Seattle,1.3,3–0,1.1,Austin,,Lumen Field,Marcos de Oliveira,Match Report,
Sat,2022-09-10,19:00 (20:00),Chicago Fire,1.3,3–1,1.2,Inter Miami,,SeatGeek Stadium,Matt Conger,Match Report,
Sat,2022-09-10,19:00 (22:00),Portland Timbers,1.1,1–0,2.6,Minnesota Utd,25019,Providence Park,Guido Gonzalez Jr.,Match Report,
Sat,2022-09-10,19:30 (20:30),Houston Dynamo,1.0,0–0,1.6,Sporting KC,15169,PNC Stadium,Tori Penso,Match Report,
Sat,2022-09-10,19:30 (21:30),Colorado Rapids,1.8,3–1,1.0,Vancouver,14036,Dick's Sporting Goods Park,Kevin Stott,Match Report,
Sat,2022-09-10,19:30 (20:30),FC Dallas,1.1,2–1,1.0,Los Angeles FC,19096,Toyota Stadium,Jon Freemon,Match Report,
Sat,2022-09-10,19:30 (21:30),Real Salt Lake,0.8,0–0,0.6,D.C. United,20487,America First Field,Kevin Broadley,Match Report,
Tue,2022-09-13,19:30,CF Montréal,1.1,3–2,1.9,Chicago Fire,,Saputo Stadium,Ted Unkel,Match Report,
Wed,2022-09-14,18:00,Orlando City,1.3,0–1,1.5,Atlanta Utd,15340,Exploria Stadium,Rubiel Vazquez,Match Report,
Tue,2022-09-13,19:00 (20:00),Minnesota Utd,1.2,1–1,0.8,Los Angeles FC,19861,Allianz Field,Tim Ford,Match Report,
Tue,2022-09-13,19:30 (20:30),Sporting KC,1.8,3–0,0.9,D.C. United,15106,Children's Mercy Park,Rosendo Mendoza,Match Report,
Tue,2022-09-13,19:30 (20:30),Houston Dynamo,4.8,3–1,2.3,New England,10305,PNC Stadium,Ismail Elfath,Match Report,
Tue,2022-09-13,20:00,Inter Miami,0.9,2–1,0.9,Columbus Crew,9778,Lockhart Stadium,Jon Freemon,Match Report,
Wed,2022-09-14,19:00 (22:00),Vancouver,1.6,3–0,1.0,LA Galaxy,16681,BC Place,Fotis Bazakos,Match Report,
Wed,2022-09-14,20:00 (22:00),Colorado Rapids,0.9,2–1,1.2,San Jose,11938,Dick's Sporting Goods Park,Pierre-Luc Lauziere,Match Report,
Wed,2022-09-14,20:15 (21:15),Austin,1.5,3–0,1.2,Real Salt Lake,20738,Q2 Stadium,Joe Dickerson,Match Report,
Sat,2022-09-17,13:00,NYCFC,1.2,2–0,1.0,NY Red Bulls,30151,Yankee Stadium,Allen Chapman,Match Report,
Sat,2022-09-17,15:30,Atlanta Utd,1.1,0–0,0.2,Philadelphia,42521,Mercedes-Benz Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-09-17,19:30,Orlando City,1.1,4–0,0.8,Toronto FC,17189,Exploria Stadium,Nima Saghafi,Match Report,
Sat,2022-09-17,19:30,New England,1.2,0–1,1.3,CF Montréal,35455,Gillette Stadium,Rosendo Mendoza,Match Report,
Sun,2022-09-18,13:00,Columbus Crew,1.2,1–1,0.6,Portland Timbers,20421,Lower.com Field,Victor Rivas,Match Report,
Sun,2022-09-18,17:00,D.C. United,1.0,2–3,1.4,Inter Miami,14284,Audi Field,Ismail Elfath,Match Report,
Sat,2022-09-17,19:00 (20:00),Chicago Fire,1.2,2–3,2.3,Charlotte,21450,Soldier Field,Tori Penso,Match Report,
Sat,2022-09-17,19:00 (22:00),Vancouver,1.1,2–1,1.0,Seattle,19722,BC Place,Ramy Touchan,Match Report,
Sat,2022-09-17,19:30 (22:30),LA Galaxy,2.0,4–1,1.2,Colorado Rapids,20325,Dignity Health Sports Park,Joe Dickerson,Match Report,
Sat,2022-09-17,19:30 (22:30),San Jose,1.8,1–1,0.9,FC Dallas,12355,Avaya Stadium,Drew Fischer,Match Report,
Sat,2022-09-17,19:30 (20:30),Sporting KC,1.8,4–1,0.7,Minnesota Utd,19680,Children's Mercy Park,Marcos de Oliveira,Match Report,
Sat,2022-09-17,19:30 (21:30),Real Salt Lake,1.9,1–2,0.5,FC Cincinnati,20222,America First Field,Chris Penso,Match Report,
Sat,2022-09-17,20:00 (21:00),Austin,0.9,1–1,1.2,Nashville,20738,Q2 Stadium,Lukasz Szpala,Match Report,
Sun,2022-09-18,19:30 (22:30),Los Angeles FC,2.8,3–1,1.0,Houston Dynamo,22131,Banc of California Stadium,Kevin Stott,Match Report,
Sat,2022-09-24,19:00 (22:00),San Jose,,,,LA Galaxy,,Stanford Stadium,,Head-to-Head,
Tue,2022-09-27,19:00 (22:00),Seattle,,,,FC Cincinnati,,Lumen Field,,Head-to-Head,
Fri,2022-09-30,19:30,Toronto FC,,,,Inter Miami,,BMO Field,,Head-to-Head,
Sat,2022-10-01,13:30,New England,,,,Atlanta Utd,,Gillette Stadium,,Head-to-Head,
Sat,2022-10-01,15:30,Colorado Rapids,,,,FC Dallas,,Dick's Sporting Goods Park,,Head-to-Head,
Sat,2022-10-01,17:30,Charlotte,,,,Philadelphia,,Bank of America Stadium,,Head-to-Head,
Sat,2022-10-01,19:30,FC Cincinnati,,,,Chicago Fire,,West End Stadium,,Head-to-Head,
Sat,2022-10-01,19:30,CF Montréal,,,,D.C. United,,Saputo Stadium,,Head-to-Head,
Sat,2022-10-01,19:30,Columbus Crew,,,,NY Red Bulls,,Lower.com Field,,Head-to-Head,
Sun,2022-10-02,12:00 (15:00),Portland Timbers,,,,Los Angeles FC,,Providence Park,,Head-to-Head,
Sun,2022-10-02,13:00,NYCFC,,,,Orlando City,,Red Bull Arena,,Head-to-Head,
Sun,2022-10-02,16:00 (17:00),Sporting KC,,,,Seattle,,Children's Mercy Park,,Head-to-Head,
Sat,2022-10-01,19:00 (22:00),Vancouver,,,,Austin,,BC Place,,Head-to-Head,
Sat,2022-10-01,19:00 (22:00),San Jose,,,,Minnesota Utd,,Avaya Stadium,,Head-to-Head,
Sat,2022-10-01,19:30 (22:30),LA Galaxy,,,,Real Salt Lake,,Dignity Health Sports Park,,Head-to-Head,
Sun,2022-10-02,19:30 (20:30),Nashville,,,,Houston Dynamo,,Geodis Park,,Head-to-Head,
Wed,2022-10-05,19:00,Charlotte,,0–0,,Columbus Crew,,Bank of America Stadium,Matt Conger,Match Report,Match Suspended
Wed,2022-10-05,20:00,Inter Miami,,,,Orlando City,,Lockhart Stadium,,Head-to-Head,
Sun,2022-10-09,13:30 (14:30),Chicago Fire,,,,New England,,,,Head-to-Head,
Sun,2022-10-09,14:00 (17:00),Seattle,,,,San Jose,,,,Head-to-Head,
Sun,2022-10-09,14:00 (17:00),Los Angeles FC,,,,Nashville,,,,Head-to-Head,
Sun,2022-10-09,14:30,Inter Miami,,,,CF Montréal,,,,Head-to-Head,
Sun,2022-10-09,14:30,Philadelphia,,,,Toronto FC,,,,Head-to-Head,
Sun,2022-10-09,14:30,Atlanta Utd,,,,NYCFC,,,,Head-to-Head,
Sun,2022-10-09,14:30,Orlando City,,,,Columbus Crew,,,,Head-to-Head,
Sun,2022-10-09,14:30,D.C. United,,,,FC Cincinnati,,,,Head-to-Head,
Sun,2022-10-09,14:30,NY Red Bulls,,,,Charlotte,,,,Head-to-Head,
Sun,2022-10-09,15:00 (17:00),Real Salt Lake,,,,Portland Timbers,,,,Head-to-Head,
Sun,2022-10-09,16:00 (17:00),Austin,,,,Colorado Rapids,,,,Head-to-Head,
Sun,2022-10-09,16:00 (17:00),FC Dallas,,,,Sporting KC,,,,Head-to-Head,
Sun,2022-10-09,16:00 (17:00),Houston Dynamo,,,,LA Galaxy,,,,Head-to-Head,
Sun,2022-10-09,16:00 (17:00),Minnesota Utd,,,,Vancouver,,,,Head-to-Head,
